symbol,date,open,high,low,close,volume,wap,barcount
NVDA,20250505 10:36:00 US/Eastern,112.84,112.88,112.66,112.78,628594,112.778,1977
NVDA,20250505 10:37:00 US/Eastern,112.77,112.97,112.75,112.94,353689,112.88,1134
NVDA,20250505 10:38:00 US/Eastern,112.95,113.17,112.94,113.17,416543,113.067,1190
NVDA,20250505 10:39:00 US/Eastern,113.17,113.35,113.16,113.27,482286,113.284,1358
NVDA,20250505 10:40:00 US/Eastern,113.27,113.28,113.15,113.19,307987,113.198,991
NVDA,20250505 10:41:00 US/Eastern,113.19,113.32,113.19,113.29,295782,113.271,891
NVDA,20250505 10:42:00 US/Eastern,113.28,113.42,113.22,113.25,491766,113.324,1472
NVDA,20250505 10:43:00 US/Eastern,113.25,113.34,113.2,113.27,320900,113.264,1027
NVDA,20250505 10:44:00 US/Eastern,113.28,113.38,113.27,113.37,209244,113.334,688
NVDA,20250505 10:45:00 US/Eastern,113.36,113.5,113.36,113.42,411778,113.439,1257
NVDA,20250505 10:46:00 US/Eastern,113.43,113.48,113.32,113.32,239152,113.399,806
NVDA,20250505 10:47:00 US/Eastern,113.33,113.41,113.3,113.33,254074,113.347,851
NVDA,20250505 10:48:00 US/Eastern,113.33,113.39,113.31,113.37,201276,113.348,664
NVDA,20250505 10:49:00 US/Eastern,113.37,113.41,113.3,113.3,197662,113.342,603
NVDA,20250505 10:50:00 US/Eastern,113.3,113.47,113.3,113.46,250706,113.39,916
NVDA,20250505 10:51:00 US/Eastern,113.46,113.46,113.38,113.39,128635,113.415,462
NVDA,20250505 10:52:00 US/Eastern,113.38,113.38,113.31,113.36,132188,113.355,457
NVDA,20250505 10:53:00 US/Eastern,113.35,113.44,113.32,113.39,192646,113.384,622
NVDA,20250505 10:54:00 US/Eastern,113.39,113.55,113.35,113.55,374123,113.481,1025
NVDA,20250505 10:55:00 US/Eastern,113.53,113.61,113.52,113.55,329291,113.575,970
NVDA,20250505 10:56:00 US/Eastern,113.55,113.6,113.51,113.59,212034,113.569,634
NVDA,20250505 10:57:00 US/Eastern,113.59,113.67,113.58,113.66,285109,113.635,763
NVDA,20250505 10:58:00 US/Eastern,113.66,113.72,113.59,113.63,237260,113.656,738
NVDA,20250505 10:59:00 US/Eastern,113.62,113.65,113.56,113.56,138633,113.612,512
NVDA,20250505 11:00:00 US/Eastern,113.57,113.62,113.47,113.56,243777,113.558,868
NVDA,20250505 11:01:00 US/Eastern,113.56,113.68,113.54,113.68,206838,113.636,596
NVDA,20250505 11:02:00 US/Eastern,113.67,113.7,113.61,113.64,193172,113.669,635
NVDA,20250505 11:03:00 US/Eastern,113.63,113.79,113.61,113.75,421463,113.706,801
NVDA,20250505 11:04:00 US/Eastern,113.75,113.8,113.72,113.78,209613,113.768,510
NVDA,20250505 11:05:00 US/Eastern,113.78,113.81,113.68,113.73,284840,113.764,707
NVDA,20250505 11:06:00 US/Eastern,113.73,113.73,113.51,113.6,376168,113.609,1314
NVDA,20250505 11:07:00 US/Eastern,113.6,113.65,113.51,113.63,245530,113.58,614
NVDA,20250505 11:08:00 US/Eastern,113.64,113.65,113.57,113.58,154111,113.614,476
NVDA,20250505 11:09:00 US/Eastern,113.58,113.62,113.48,113.52,248720,113.529,654
NVDA,20250505 11:10:00 US/Eastern,113.52,113.58,113.44,113.52,289174,113.509,861
NVDA,20250505 11:11:00 US/Eastern,113.53,113.62,113.5,113.52,222767,113.568,894
NVDA,20250505 11:12:00 US/Eastern,113.52,113.65,113.5,113.59,199911,113.595,812
NVDA,20250505 11:13:00 US/Eastern,113.58,113.65,113.52,113.62,156621,113.59,493
NVDA,20250505 11:14:00 US/Eastern,113.63,113.75,113.61,113.71,288090,113.697,846
NVDA,20250505 11:15:00 US/Eastern,113.71,113.78,113.66,113.69,250480,113.733,855
NVDA,20250505 11:16:00 US/Eastern,113.7,113.7,113.56,113.63,165860,113.63,627
NVDA,20250505 11:17:00 US/Eastern,113.64,113.68,113.59,113.67,169366,113.636,506
